depth,sample
13,D20160823T014058_IFCB110
13,D20160905T222627_IFCB110
13,D20160905T222627_IFCB110
13,D20160821T172007_IFCB110
13,D20160906T194259_IFCB110
13,D20160929T114651_IFCB110
13,D20160907T170514_IFCB110
13,D20161015T045654_IFCB110
13,D20161006T133527_IFCB110
13,D20161008T051917_IFCB110
13,D20160910T055007_IFCB110
13,D20161013T170339_IFCB110
13,D20160823T014058_IFCB110
13,D20160913T113055_IFCB110
13,D20160908T071508_IFCB110
13,D20160910T191351_IFCB110
13,D20160820T200331_IFCB110
13,D20160903T010537_IFCB110
13,D20160830T234443_IFCB110
13,D20161009T120444_IFCB110
13,D20161009T213201_IFCB110
13,D20161015T215452_IFCB110
13,D20160902T202158_IFCB110
13,D20160831T113356_IFCB110
13,D20161015T063127_IFCB110
13,D20161001T195141_IFCB110
13,D20160825T140751_IFCB110
13,D20161002T125650_IFCB110
13,D20160828T175046_IFCB110
13,D20160822T161336_IFCB110
13,D20160912T073129_IFCB110
13,D20160830T234443_IFCB110
13,D20161010T092219_IFCB110
13,D20160819T131718_IFCB110
13,D20160831T065017_IFCB110
13,D20160903T032727_IFCB110
13,D20160831T042822_IFCB110
13,D20161002T121755_IFCB110
13,D20160912T121508_IFCB110
13,D20161003T044256_IFCB110
13,D20160907T024953_IFCB110
13,D20161015T085317_IFCB110
